leg_key,side,tradingsymbol,present_in_t28_chain_band,bid,ask,quote_age_seconds,spread_pct,selected_leg_symbol_source,leg_reconciliation_ok,phase2_defensive_credit_points,phase2_weighted_credit_points,phase1_latest_weighted_credit_points,phase1_latest_observed_timestamp_ist,phase2_vs_phase1_diff_points,phase2_vs_phase1_diff_pct,broker_order_allowed
def_short_call,sell,NIFTY2681825100CE,True,0.85,0.9,1.458416,0.0571428571428572,t28_selected_profile_snapshot,True,1.4000000000000001,2.1,2.1750000000000003,2026-08-17T13:17:39.531011+05:30,-0.07500000000000018,-0.03448275862068973,False
def_short_put,sell,NIFTY2681823600PE,True,1.6,1.65,0.458416,0.0307692307692306,t28_selected_profile_snapshot,True,1.4000000000000001,2.1,2.1750000000000003,2026-08-17T13:17:39.531011+05:30,-0.07500000000000018,-0.03448275862068973,False
def_long_call,buy,NIFTY2681826300CE,True,0.35,0.4,1.458416,0.1333333333333334,t28_selected_profile_snapshot,True,1.4000000000000001,2.1,2.1750000000000003,2026-08-17T13:17:39.531011+05:30,-0.07500000000000018,-0.03448275862068973,False
def_long_put,buy,NIFTY2681822400PE,True,0.6,0.65,8.458416,0.08,t28_selected_profile_snapshot,True,1.4000000000000001,2.1,2.1750000000000003,2026-08-17T13:17:39.531011+05:30,-0.07500000000000018,-0.03448275862068973,False
